主要诊断编码,主要诊断名称,其他诊断编码,其他诊断名称,并发症评级,病案数
I47.102,阵发性室上性心动过速,J44.900,慢性阻塞性肺病,合并症/并发症,5
I47.102,阵发性室上性心动过速,J98.414,肺部感染,合并症/并发症,8
I47.102,阵发性室上性心动过速,N18.904,慢性肾功能不全,合并症/并发症,3
I47.102,阵发性室上性心动过速,Q24.806,心室肌致密化不全,严重合并症/并发症,4
I47.102,阵发性室上性心动过速,R57.000,心源性休克,严重合并症/并发症,3
I47.108,阵发性房性心动过速,J44.900,慢性阻塞性肺病,合并症/并发症,4
I47.108,阵发性房性心动过速,J98.414,肺部感染,合并症/并发症,3
I47.200,室性心动过速,E87.201,代谢性酸中毒,合并症/并发症,3
I47.200,室性心动过速,E87.600,低钾血症,合并症/并发症,6
I47.200,室性心动过速,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,3
I47.200,室性心动过速,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,3
I47.200,室性心动过速,J98.414,肺部感染,合并症/并发症,3
I47.200,室性心动过速,N18.902,慢性肾衰竭,合并症/并发症,3
I47.200,室性心动过速,N19.x00,肾衰竭,严重合并症/并发症,3
I47.200,室性心动过速,R57.000,心源性休克,严重合并症/并发症,4
I47.900,阵发性心动过速,F45.306,心脏神经官能症,合并症/并发症,3
I48.000,阵发性心房颤动,E04.101,甲状腺结节,合并症/并发症,4
I48.000,阵发性心房颤动,E11.401+G63.2*,2型糖尿病性周围神经病,合并症/并发症,3
I48.000,阵发性心房颤动,E87.600,低钾血症,合并症/并发症,19
I48.000,阵发性心房颤动,E87.801,电解质代谢紊乱,合并症/并发症,4
I48.000,阵发性心房颤动,G31.902,脑萎缩,合并症/并发症,8
I48.000,阵发性心房颤动,I12.000x001,高血压性肾衰竭,严重合并症/并发症,5
I48.000,阵发性心房颤动,I25.901,冠状动脉性心脏病,合并症/并发症,5
I48.000,阵发性心房颤动,I31.300,心包积液(非炎性),合并症/并发症,4
I48.000,阵发性心房颤动,I50.900,心力衰竭,严重合并症/并发症,3
I48.000,阵发性心房颤动,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,11
I48.000,阵发性心房颤动,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,14
I48.000,阵发性心房颤动,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,6
I48.000,阵发性心房颤动,I69.300,脑梗死后遗症,合并症/并发症,12
I48.000,阵发性心房颤动,I70.203,下肢动脉粥样硬化,合并症/并发症,4
I48.000,阵发性心房颤动,J15.902,社区获得性肺炎，非重症,合并症/并发症,3
I48.000,阵发性心房颤动,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,8
I48.000,阵发性心房颤动,J44.900,慢性阻塞性肺病,合并症/并发症,7
I48.000,阵发性心房颤动,J98.414,肺部感染,合并症/并发症,15
I48.000,阵发性心房颤动,M10.002,痛风性关节炎,合并症/并发症,3
I48.000,阵发性心房颤动,M17.000,原发性双侧膝关节病,合并症/并发症,3
I48.000,阵发性心房颤动,M48.903,腰椎退行性病变,合并症/并发症,3
I48.000,阵发性心房颤动,M81.900,骨质疏松,合并症/并发症,4
I48.000,阵发性心房颤动,N18.902,慢性肾衰竭,合并症/并发症,5
I48.000,阵发性心房颤动,N19.x03,肾功能不全,严重合并症/并发症,3
I48.000,阵发性心房颤动,Z95.501,,合并症/并发症,3
I48.100,持续性心房颤动,E87.600,低钾血症,合并症/并发症,3
I48.100,持续性心房颤动,I12.000x001,高血压性肾衰竭,严重合并症/并发症,3
I48.100,持续性心房颤动,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,3
I48.100,持续性心房颤动,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,17
I48.100,持续性心房颤动,I50.908,慢性心力衰竭,严重合并症/并发症,7
I48.100,持续性心房颤动,I69.300x002,陈旧性脑梗死,合并症/并发症,3
I48.100,持续性心房颤动,J44.900,慢性阻塞性肺病,合并症/并发症,4
I48.100,持续性心房颤动,J94.804,胸腔积液,合并症/并发症,3
I48.100,持续性心房颤动,J98.414,肺部感染,合并症/并发症,3
I48.401,II型心房扑动,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,3
I48.900x003,心房扑动,G31.902,脑萎缩,合并症/并发症,3
I48.900x003,心房扑动,I12.000x001,高血压性肾衰竭,严重合并症/并发症,3
I48.900x003,心房扑动,I25.500,缺血性心肌病,合并症/并发症,3
I48.900x003,心房扑动,I27.900x002,慢性肺源性心脏病,严重合并症/并发症,3
I48.900x003,心房扑动,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,8
I48.900x003,心房扑动,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,15
I48.900x003,心房扑动,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,6
I48.900x003,心房扑动,I69.300,脑梗死后遗症,合并症/并发症,5
I48.900x003,心房扑动,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,4
I48.900x003,心房扑动,J44.900,慢性阻塞性肺病,合并症/并发症,9
I48.900x003,心房扑动,J98.414,肺部感染,合并症/并发症,11
I48.900x003,心房扑动,N18.902,慢性肾衰竭,合并症/并发症,5
I48.900x003,心房扑动,Z95.200x002,,合并症/并发症,3
I48.900x003,心房扑动,Z95.501,,合并症/并发症,6
I48.900x004,心房颤动[心房纤颤],B02.202+G53.0*,带状疱疹性神经痛,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],D50.900,缺铁性贫血,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],D69.600,血小板减少,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],D70.x04,白细胞减少,合并症/并发症,5
I48.900x004,心房颤动[心房纤颤],E04.101,甲状腺结节,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],E11.401+G63.2*,2型糖尿病性周围神经病,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],E77.801,低蛋白血症,合并症/并发症,17
I48.900x004,心房颤动[心房纤颤],E87.201,代谢性酸中毒,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],E87.500,高钾血症,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],E87.600,低钾血症,合并症/并发症,34
I48.900x004,心房颤动[心房纤颤],E87.801,电解质代谢紊乱,合并症/并发症,7
I48.900x004,心房颤动[心房纤颤],F41.201,焦虑性抑郁症,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],G31.101,老年性脑萎缩,合并症/并发症,7
I48.900x004,心房颤动[心房纤颤],G31.902,脑萎缩,合并症/并发症,10
I48.900x004,心房颤动[心房纤颤],I09.900,风湿性心脏病,合并症/并发症,7
I48.900x004,心房颤动[心房纤颤],I11.901,高血压性心脏病,合并症/并发症,8
I48.900x004,心房颤动[心房纤颤],I12.000x001,高血压性肾衰竭,严重合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],I13.200x001,高血压性心脏病和肾脏病伴心力衰竭和肾衰竭,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],I25.500,缺血性心肌病,合并症/并发症,9
I48.900x004,心房颤动[心房纤颤],I25.901,冠状动脉性心脏病,合并症/并发症,5
I48.900x004,心房颤动[心房纤颤],I27.200x012,肺动脉高压,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],I27.900,肺源性心脏病,严重合并症/并发症,7
I48.900x004,心房颤动[心房纤颤],I31.300,心包积液(非炎性),合并症/并发症,10
I48.900x004,心房颤动[心房纤颤],I42.900,心肌病,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],I50.002,全心衰竭,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],I50.900,心力衰竭,严重合并症/并发症,16
I48.900x004,心房颤动[心房纤颤],I50.900x002,心功能不全,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,23
I48.900x004,心房颤动[心房纤颤],I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,106
I48.900x004,心房颤动[心房纤颤],I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,62
I48.900x004,心房颤动[心房纤颤],I50.900x018,慢性心功能不全急性加重,严重合并症/并发症,9
I48.900x004,心房颤动[心房纤颤],I50.907,急性心力衰竭,严重合并症/并发症,11
I48.900x004,心房颤动[心房纤颤],I50.908,慢性心力衰竭,严重合并症/并发症,21
I48.900x004,心房颤动[心房纤颤],I51.402,老年性心脏病,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],I69.300,脑梗死后遗症,合并症/并发症,15
I48.900x004,心房颤动[心房纤颤],I69.300x002,陈旧性脑梗死,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],I70.203,下肢动脉粥样硬化,合并症/并发症,5
I48.900x004,心房颤动[心房纤颤],I95.900,低血压,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],J15.902,社区获得性肺炎，非重症,合并症/并发症,8
I48.900x004,心房颤动[心房纤颤],J18.900,肺炎,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],J44.000,慢性阻塞性肺病伴有急性下呼吸道感染,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,25
I48.900x004,心房颤动[心房纤颤],J44.801,慢性支气管炎伴肺气肿,合并症/并发症,10
I48.900x004,心房颤动[心房纤颤],J44.900,慢性阻塞性肺病,合并症/并发症,47
I48.900x004,心房颤动[心房纤颤],J84.101,肺间质纤维化,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],J94.804,胸腔积液,合并症/并发症,26
I48.900x004,心房颤动[心房纤颤],J96.100,慢性呼吸衰竭,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],J98.414,肺部感染,合并症/并发症,78
I48.900x004,心房颤动[心房纤颤],K25.700,慢性胃溃疡不伴有出血或穿孔,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],K58.800,其他和未特指的肠易激综合征,合并症/并发症,7
I48.900x004,心房颤动[心房纤颤],K65.806,多浆膜腔积液,严重合并症/并发症,5
I48.900x004,心房颤动[心房纤颤],K76.800x006,肝功能不全,合并症/并发症,7
I48.900x004,心房颤动[心房纤颤],K76.807,肝囊肿,合并症/并发症,9
I48.900x004,心房颤动[心房纤颤],K92.208,上消化道出血,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],K92.210,消化道出血,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],M10.002,痛风性关节炎,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],M48.901,颈椎退行性病变,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],M48.903,腰椎退行性病变,合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],M81.900,骨质疏松,合并症/并发症,6
I48.900x004,心房颤动[心房纤颤],N18.902,慢性肾衰竭,合并症/并发症,10
I48.900x004,心房颤动[心房纤颤],N18.904,慢性肾功能不全,合并症/并发症,5
I48.900x004,心房颤动[心房纤颤],N19.x00,肾衰竭,严重合并症/并发症,6
I48.900x004,心房颤动[心房纤颤],N19.x03,肾功能不全,严重合并症/并发症,6
I48.900x004,心房颤动[心房纤颤],N34.200x003,尿道溃疡,合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],Q21.100,房间隔缺损,严重合并症/并发症,3
I48.900x004,心房颤动[心房纤颤],R57.000,心源性休克,严重合并症/并发症,4
I48.900x004,心房颤动[心房纤颤],Z95.200x002,,合并症/并发症,10
I48.900x004,心房颤动[心房纤颤],Z95.501,,合并症/并发症,6
I49.001,心室颤动,E87.600,低钾血症,合并症/并发症,4
I49.001,心室颤动,I46.000,心脏停搏复苏成功,合并症/并发症,4
I49.001,心室颤动,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,3
I49.001,心室颤动,J94.804,胸腔积液,合并症/并发症,3
I49.001,心室颤动,J98.414,肺部感染,合并症/并发症,8
I49.001,心室颤动,N17.900,急性肾衰竭,严重合并症/并发症,3
I49.100x001,房性期前收缩[房性早搏],D70.x04,白细胞减少,合并症/并发症,6
I49.100x001,房性期前收缩[房性早搏],E04.101,甲状腺结节,合并症/并发症,5
I49.100x001,房性期前收缩[房性早搏],E21.300,甲状旁腺功能亢进症,合并症/并发症,3
I49.100x001,房性期前收缩[房性早搏],E46.x00x003,营养不良,合并症/并发症,3
I49.100x001,房性期前收缩[房性早搏],E87.600,低钾血症,合并症/并发症,6
I49.100x001,房性期前收缩[房性早搏],F09.x03,器质性精神障碍,合并症/并发症,3
I49.100x001,房性期前收缩[房性早搏],F41.200x002,焦虑抑郁状态,合并症/并发症,4
I49.100x001,房性期前收缩[房性早搏],F45.306,心脏神经官能症,合并症/并发症,3
I49.100x001,房性期前收缩[房性早搏],I25.500,缺血性心肌病,合并症/并发症,7
I49.100x001,房性期前收缩[房性早搏],I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,3
I49.100x001,房性期前收缩[房性早搏],I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,5
I49.100x001,房性期前收缩[房性早搏],I69.300,脑梗死后遗症,合并症/并发症,5
I49.100x001,房性期前收缩[房性早搏],I69.300x002,陈旧性脑梗死,合并症/并发症,4
I49.100x001,房性期前收缩[房性早搏],J44.900,慢性阻塞性肺病,合并症/并发症,5
I49.100x001,房性期前收缩[房性早搏],K76.807,肝囊肿,合并症/并发症,6
I49.101,频发性房性期外收缩,E87.600,低钾血症,合并症/并发症,4
I49.101,频发性房性期外收缩,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,5
I49.101,频发性房性期外收缩,I69.300,脑梗死后遗症,合并症/并发症,3
I49.101,频发性房性期外收缩,J44.900,慢性阻塞性肺病,合并症/并发症,4
I49.300x002,室性期前收缩,D50.900,缺铁性贫血,合并症/并发症,3
I49.300x002,室性期前收缩,E04.101,甲状腺结节,合并症/并发症,7
I49.300x002,室性期前收缩,E87.600,低钾血症,合并症/并发症,5
I49.300x002,室性期前收缩,G30.900,阿尔茨海默病,严重合并症/并发症,4
I49.300x002,室性期前收缩,I12.000x001,高血压性肾衰竭,严重合并症/并发症,7
I49.300x002,室性期前收缩,I25.500,缺血性心肌病,合并症/并发症,6
I49.300x002,室性期前收缩,I47.201,阵发性室性心动过速,合并症/并发症,3
I49.300x002,室性期前收缩,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,6
I49.300x002,室性期前收缩,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,5
I49.300x002,室性期前收缩,J44.900,慢性阻塞性肺病,合并症/并发症,8
I49.300x002,室性期前收缩,J98.414,肺部感染,合并症/并发症,5
I49.300x002,室性期前收缩,K76.807,肝囊肿,合并症/并发症,4
I49.300x002,室性期前收缩,K92.210,消化道出血,合并症/并发症,5
I49.301,频发性室性期外收缩,E87.600,低钾血症,合并症/并发症,4
I49.301,频发性室性期外收缩,I11.901,高血压性心脏病,合并症/并发症,3
I49.301,频发性室性期外收缩,I47.201,阵发性室性心动过速,合并症/并发症,3
I49.301,频发性室性期外收缩,J44.900,慢性阻塞性肺病,合并症/并发症,3
I49.401,频发性期外收缩,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,3
I49.402,偶发房室性期外收缩,F45.306,心脏神经官能症,合并症/并发症,6
I49.402,偶发房室性期外收缩,K76.807,肝囊肿,合并症/并发症,3
I49.500,病态窦房结综合征,D69.600,血小板减少,合并症/并发症,3
I49.500,病态窦房结综合征,E04.101,甲状腺结节,合并症/并发症,4
I49.500,病态窦房结综合征,E11.201+N08.3*,2型糖尿病性肾病,合并症/并发症,3
I49.500,病态窦房结综合征,E11.401+G63.2*,2型糖尿病性周围神经病,合并症/并发症,3
I49.500,病态窦房结综合征,E11.501+I79.2*,2型糖尿病性周围血管病变,合并症/并发症,3
I49.500,病态窦房结综合征,E77.801,低蛋白血症,合并症/并发症,5
I49.500,病态窦房结综合征,E87.500,高钾血症,合并症/并发症,5
I49.500,病态窦房结综合征,E87.600,低钾血症,合并症/并发症,5
I49.500,病态窦房结综合征,F32.901,抑郁状态,合并症/并发症,3
I49.500,病态窦房结综合征,G31.101,老年性脑萎缩,合并症/并发症,4
I49.500,病态窦房结综合征,G31.902,脑萎缩,合并症/并发症,6
I49.500,病态窦房结综合征,G47.000x001,失眠,合并症/并发症,3
I49.500,病态窦房结综合征,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,3
I49.500,病态窦房结综合征,I11.901,高血压性心脏病,合并症/并发症,7
I49.500,病态窦房结综合征,I12.000x001,高血压性肾衰竭,严重合并症/并发症,6
I49.500,病态窦房结综合征,I20.900,心绞痛,合并症/并发症,7
I49.500,病态窦房结综合征,I25.500,缺血性心肌病,合并症/并发症,3
I49.500,病态窦房结综合征,I25.901,冠状动脉性心脏病,合并症/并发症,3
I49.500,病态窦房结综合征,I27.900,肺源性心脏病,严重合并症/并发症,4
I49.500,病态窦房结综合征,I45.502,窦性停搏,合并症/并发症,5
I49.500,病态窦房结综合征,I48.000,阵发性心房颤动,合并症/并发症,12
I49.500,病态窦房结综合征,I50.900,心力衰竭,严重合并症/并发症,9
I49.500,病态窦房结综合征,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,10
I49.500,病态窦房结综合征,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,14
I49.500,病态窦房结综合征,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,6
I49.500,病态窦房结综合征,I69.300,脑梗死后遗症,合并症/并发症,9
I49.500,病态窦房结综合征,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,5
I49.500,病态窦房结综合征,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,6
I49.500,病态窦房结综合征,J44.900,慢性阻塞性肺病,合并症/并发症,20
I49.500,病态窦房结综合征,J98.414,肺部感染,合并症/并发症,14
I49.500,病态窦房结综合征,K76.807,肝囊肿,合并症/并发症,4
I49.500,病态窦房结综合征,M48.903,腰椎退行性病变,合并症/并发症,3
I49.500,病态窦房结综合征,M81.900,骨质疏松,合并症/并发症,6
I49.500,病态窦房结综合征,N18.400,慢性肾脏病4期,严重合并症/并发症,4
I49.500,病态窦房结综合征,N18.500,慢性肾脏病5期,严重合并症/并发症,3
I49.500,病态窦房结综合征,N18.900x012+D63.8*,肾性贫血,合并症/并发症,4
I49.500,病态窦房结综合征,N18.902,慢性肾衰竭,合并症/并发症,11
I49.500,病态窦房结综合征,N19.x00,肾衰竭,严重合并症/并发症,4
I49.500,病态窦房结综合征,N19.x03,肾功能不全,严重合并症/并发症,5
I49.801,窦性心律失常,E87.600,低钾血症,合并症/并发症,4
I49.801,窦性心律失常,I25.901,冠状动脉性心脏病,合并症/并发症,3
I49.801,窦性心律失常,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,5
I49.801,窦性心律失常,J98.414,肺部感染,合并症/并发症,5
I49.801,窦性心律失常,M81.900,骨质疏松,合并症/并发症,3
I49.802,室性心律失常,J98.414,肺部感染,合并症/并发症,3
I49.900,心律失常,D69.600,血小板减少,合并症/并发症,4
I49.900,心律失常,D70.x04,白细胞减少,合并症/并发症,9
I49.900,心律失常,E04.101,甲状腺结节,合并症/并发症,12
I49.900,心律失常,E41.x01,重度营养不良伴消瘦,合并症/并发症,3
I49.900,心律失常,E77.801,低蛋白血症,合并症/并发症,7
I49.900,心律失常,E87.500,高钾血症,合并症/并发症,3
I49.900,心律失常,E87.600,低钾血症,合并症/并发症,38
I49.900,心律失常,E87.801,电解质代谢紊乱,合并症/并发症,12
I49.900,心律失常,F32.901,抑郁状态,合并症/并发症,5
I49.900,心律失常,F41.101,焦虑状态,合并症/并发症,25
I49.900,心律失常,F41.201,焦虑性抑郁症,合并症/并发症,3
I49.900,心律失常,F45.306,心脏神经官能症,合并症/并发症,4
I49.900,心律失常,F51.000,非器质性失眠症,合并症/并发症,3
I49.900,心律失常,G20.x00,帕金森病,合并症/并发症,5
I49.900,心律失常,G31.902,脑萎缩,合并症/并发症,32
I49.900,心律失常,I11.901,高血压性心脏病,合并症/并发症,21
I49.900,心律失常,I25.500,缺血性心肌病,合并症/并发症,22
I49.900,心律失常,I25.600x001,隐匿性冠状动脉粥样硬化性心脏病,合并症/并发症,15
I49.900,心律失常,I25.901,冠状动脉性心脏病,合并症/并发症,4
I49.900,心律失常,I27.900,肺源性心脏病,严重合并症/并发症,24
I49.900,心律失常,I31.300,心包积液(非炎性),合并症/并发症,6
I49.900,心律失常,I45.502,窦性停搏,合并症/并发症,3
I49.900,心律失常,I48.000,阵发性心房颤动,合并症/并发症,5
I49.900,心律失常,I50.105,慢性左心功能不全,严重合并症/并发症,25
I49.900,心律失常,I50.900,心力衰竭,严重合并症/并发症,12
I49.900,心律失常,I50.900x007,心功能Ⅱ级(NYHA分级),严重合并症/并发症,11
I49.900,心律失常,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,15
I49.900,心律失常,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,10
I49.900,心律失常,I50.908,慢性心力衰竭,严重合并症/并发症,4
I49.900,心律失常,I51.402,老年性心脏病,合并症/并发症,5
I49.900,心律失常,I64.x01,脑血管意外,合并症/并发症,3
I49.900,心律失常,I69.300,脑梗死后遗症,合并症/并发症,10
I49.900,心律失常,I70.900x004,动脉粥样硬化,合并症/并发症,4
I49.900,心律失常,I95.900,低血压,合并症/并发症,4
I49.900,心律失常,J18.900,肺炎,合并症/并发症,54
I49.900,心律失常,J18.901,非典型性肺炎,合并症/并发症,8
I49.900,心律失常,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,24
I49.900,心律失常,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,68
I49.900,心律失常,J44.900,慢性阻塞性肺病,合并症/并发症,32
I49.900,心律失常,J47.x00,支气管扩张(症),合并症/并发症,7
I49.900,心律失常,J94.804,胸腔积液,合并症/并发症,19
I49.900,心律失常,J98.101,肺不张,合并症/并发症,4
I49.900,心律失常,J98.402,肺不典型增生,合并症/并发症,8
I49.900,心律失常,J98.414,肺部感染,合并症/并发症,95
I49.900,心律失常,K25.700,慢性胃溃疡不伴有出血或穿孔,合并症/并发症,5
I49.900,心律失常,K26.701,慢性十二指肠溃疡,合并症/并发症,3
I49.900,心律失常,K27.700x001,慢性消化性溃疡,合并症/并发症,3
I49.900,心律失常,K31.904,急性胃黏膜病变,合并症/并发症,3
I49.900,心律失常,K56.701,不完全性肠梗阻,合并症/并发症,3
I49.900,心律失常,K63.809,结肠积气,合并症/并发症,11
I49.900,心律失常,K76.800x006,肝功能不全,合并症/并发症,14
I49.900,心律失常,K76.807,肝囊肿,合并症/并发症,22
I49.900,心律失常,K81.900,胆囊炎,合并症/并发症,22
I49.900,心律失常,K92.210,消化道出血,合并症/并发症,5
I49.900,心律失常,K92.901,胃肠功能紊乱,合并症/并发症,4
I49.900,心律失常,M17.000,原发性双侧膝关节病,合并症/并发症,3
I49.900,心律失常,M48.901,颈椎退行性病变,合并症/并发症,7
I49.900,心律失常,M48.903,腰椎退行性病变,合并症/并发症,11
I49.900,心律失常,M81.900,骨质疏松,合并症/并发症,28
I49.900,心律失常,N18.904,慢性肾功能不全,合并症/并发症,5
I49.900,心律失常,N19.x03,肾功能不全,严重合并症/并发症,6
I49.900,心律失常,N41.100,慢性前列腺炎,合并症/并发症,3
I49.900,心律失常,N94.806,盆腔积液,合并症/并发症,3
I49.900,心律失常,N95.201,老年性阴道炎,合并症/并发症,3
I49.900,心律失常,R31.x00,血尿,合并症/并发症,3
I49.900,心律失常,R57.000,心源性休克,严重合并症/并发症,8
I50.000,充血性心力衰竭,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,3
I50.000,充血性心力衰竭,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,5
I50.000,充血性心力衰竭,J18.900,肺炎,合并症/并发症,3
I50.000,充血性心力衰竭,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,3
I50.000,充血性心力衰竭,J98.414,肺部感染,合并症/并发症,3
I50.002,全心衰竭,D68.902,凝血障碍,严重合并症/并发症,3
I50.002,全心衰竭,D69.600,血小板减少,合并症/并发症,3
I50.002,全心衰竭,E77.801,低蛋白血症,合并症/并发症,6
I50.002,全心衰竭,E87.001,高钠血症,合并症/并发症,3
I50.002,全心衰竭,E87.600,低钾血症,合并症/并发症,4
I50.002,全心衰竭,E87.801,电解质代谢紊乱,合并症/并发症,6
I50.002,全心衰竭,F03.x01,老年性痴呆,严重合并症/并发症,3
I50.002,全心衰竭,G31.902,脑萎缩,合并症/并发症,3
I50.002,全心衰竭,I27.900,肺源性心脏病,严重合并症/并发症,7
I50.002,全心衰竭,I42.000x001,家族性扩张性心肌病,合并症/并发症,5
I50.002,全心衰竭,I48.000,阵发性心房颤动,合并症/并发症,3
I50.002,全心衰竭,I50.900x008,心功能III级(NYHA分级),严重合并症/并发症,5
I50.002,全心衰竭,I50.900x010,心功能IV级(NYHA分级),严重合并症/并发症,10
I50.002,全心衰竭,J15.900,细菌性肺炎,合并症/并发症,3
I50.002,全心衰竭,J15.902,社区获得性肺炎，非重症,合并症/并发症,3
I50.002,全心衰竭,J18.900,肺炎,合并症/并发症,3
I50.002,全心衰竭,J44.100,慢性阻塞性肺病伴有急性加重,严重合并症/并发症,6
I50.002,全心衰竭,J44.801,慢性支气管炎伴肺气肿,合并症/并发症,3
I50.002,全心衰竭,J44.900,慢性阻塞性肺病,合并症/并发症,7
I50.002,全心衰竭,J94.804,胸腔积液,合并症/并发症,5
I50.002,全心衰竭,J98.414,肺部感染,合并症/并发症,17
I50.002,全心衰竭,K65.806,多浆膜腔积液,严重合并症/并发症,5
I50.002,全心衰竭,K72.900x001,肝功能衰竭,严重合并症/并发症,3
I50.002,全心衰竭,K76.800x006,肝功能不全,合并症/并发症,6
I50.002,全心衰竭,K92.208,上消化道出血,合并症/并发症,3
I50.002,全心衰竭,K92.210,消化道出血,合并症/并发症,4
I50.002,全心衰竭,N18.900x012+D63.8*,肾性贫血,合并症/并发症,3
I50.002,全心衰竭,N18.902,慢性肾衰竭,合并症/并发症,6
I50.002,全心衰竭,N18.904,慢性肾功能不全,合并症/并发症,5
I50.002,全心衰竭,N19.x03,肾功能不全,严重合并症/并发症,3
I50.101,急性左心衰竭,E11.201+N08.3*,2型糖尿病性肾病,合并症/并发症,4
I50.101,急性左心衰竭,E77.801,低蛋白血症,合并症/并发症,8
I50.101,急性左心衰竭,E87.102,低钠血症,合并症/并发症,4
I50.101,急性左心衰竭,E87.201,代谢性酸中毒,合并症/并发症,7
I50.101,急性左心衰竭,E87.203,呼吸性酸中毒,合并症/并发症,4
I50.101,急性左心衰竭,E87.500,高钾血症,合并症/并发症,3
I50.101,急性左心衰竭,E87.600,低钾血症,合并症/并发症,21
I50.101,急性左心衰竭,E87.801,电解质代谢紊乱,合并症/并发症,6
I50.101,急性左心衰竭,I11.002,高血压心脏病伴心力衰竭,合并症/并发症,8
I50.101,急性左心衰竭,I11.901,高血压性心脏病,合并症/并发症,11
I50.101,急性左心衰竭,I21.900,急性心肌梗死,严重合并症/并发症,3
I50.101,急性左心衰竭,I25.200,,合并症/并发症,7
I50.101,急性左心衰竭,I25.301,心室壁瘤,合并症/并发症,3
I50.101,急性左心衰竭,I25.901,冠状动脉性心脏病,合并症/并发症,7
I50.101,急性左心衰竭,I27.900,肺源性心脏病,严重合并症/并发症,26
I50.101,急性左心衰竭,I31.300,心包积液(非炎性),合并症/并发症,4
I50.101,急性左心衰竭,I42.000x001,家族性扩张性心肌病,合并症/并发症,5
I50.101,急性左心衰竭,I50.002,全心衰竭,严重合并症/并发症,3
I50.101,急性左心衰竭,I50.104,心源性哮喘,严重合并症/并发症,3
